Datum,Measurement Type,Value,Unit,Source
2023-06-04 08:12:00,Gewicht,79.4,kg,Strong
2023-05-19 07:40:11,Gewicht,80,kg,Apple Health
2023-05-19 21:15:02,Gewicht,81.2,kg,Strong
2023-04-02 09:00:00,Gewicht,0,kg,Apple Health
2023-03-11 18:30:45,Gewicht,79,kg,Apple Health
2023-03-11 18:30:45,Gewicht,79,kg,Strong
2023-02-08 07:05:19,Koerperfett,18.2,%,Apple Health
2023-01-09 06:55:00,Gewicht,78.5,kg,Strong
2022-11-30 12:00:00,Gewicht,77,kg,Apple Health
2019-08-14 10:22:00,Gewicht,62,kg,Apple Health
