Datum,Workout-Name,Dauer,Name der Übung,Reihenfolge festlegen,Gewicht,Wiederh.,Entfernung,Sekunden,Notizen,Workout-Notizen,RPE
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Bench Press (Barbell)",W,32.0,8.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Bench Press (Barbell)",W,32.0,8.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Bench Press (Barbell)",1,61.5,8.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Bench Press (Barbell)",Ruhezeit,0.0,0.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Bench Press (Barbell)",2,53.0,9.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Bench Press (Barbell)",Ruhezeit,0.0,0.0,0,150.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Bench Press (Barbell)",3,52.5,8.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Incline Bench Press (Dumbbell)",1,22.0,9.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Incline Bench Press (Dumbbell)",Ruhezeit,0.0,0.0,0,120.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Incline Bench Press (Dumbbell)",2,19.5,10.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Incline Bench Press (Dumbbell)",Ruhezeit,0.0,0.0,0,90.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Incline Bench Press (Dumbbell)",3,20.5,9.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Incline Bench Press (Dumbbell)",Ruhezeit,0.0,0.0,0,120.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Incline Bench Press (Dumbbell)",4,23.5,9.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Overhead Press (Barbell)",1,33.0,8.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Overhead Press (Barbell)",Ruhezeit,0.0,0.0,0,90.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Overhead Press (Barbell)",2,33.0,9.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Overhead Press (Barbell)",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Overhead Press (Barbell)",3,35.5,9.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Lateral Raise (Dumbbell)",1,9.5,13.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Lateral Raise (Dumbbell)",Ruhezeit,0.0,0.0,0,120.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Lateral Raise (Dumbbell)",2,8.0,13.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Lateral Raise (Dumbbell)",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Lateral Raise (Dumbbell)",3,9.0,11.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Lateral Raise (Dumbbell)",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Lateral Raise (Dumbbell)",4,8.5,11.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Triceps Pushdown (Cable - Straight Bar)",1,26.5,11.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Triceps Pushdown (Cable - Straight Bar)",Ruhezeit,0.0,0.0,0,90.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Triceps Pushdown (Cable - Straight Bar)",2,24.0,12.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Triceps Pushdown (Cable - Straight Bar)",Ruhezeit,0.0,0.0,0,150.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Triceps Pushdown (Cable - Straight Bar)",3,26.0,12.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Push Up",1,0.0,14.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Push Up",Ruhezeit,0.0,0.0,0,150.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Push Up",2,0.0,15.0,0,0.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Push Up",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-09 18:23:28,"Abend-Workout",1h 24min,"Push Up",3,0.0,15.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Pull Up",W,1.0,8.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Pull Up",W,-0.5,8.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Pull Up",1,0.0,7.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Pull Up",Ruhezeit,0.0,0.0,0,90.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Pull Up",2,0.0,8.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Pull Up",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Pull Up",3,0.0,7.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Seated Row (Cable)",1,44.5,10.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Seated Row (Cable)",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Seated Row (Cable)",2,42.5,11.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Seated Row (Cable)",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Seated Row (Cable)",3,50.0,9.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Seated Row (Cable)",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Seated Row (Cable)",4,42.0,11.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl (Barbell)",1,25.0,11.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl (Barbell)",Ruhezeit,0.0,0.0,0,60.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl (Barbell)",2,23.0,9.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl (Barbell)",Ruhezeit,0.0,0.0,0,120.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl (Barbell)",3,26.0,9.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl (Barbell)",Ruhezeit,0.0,0.0,0,120.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl (Barbell)",4,22.0,11.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl Bench (Dumbell)",1,9.5,11.0,0,0.0,,,
2023-01-11 19:58:15,"Abend-Workout",1h 16min,"Bicep Curl Bench (Dumbell)",Ruhezeit,0.0,0.0,0,90.0,,,
